,IATA,airport,city,country,pagerank
146,YUX,Hall Beach,Hall Beach,Canada,0.000118184803589
2961,BBI,Bhubaneshwar,Bhubaneswar,India,0.000118160217728
292,SFA,Thyna,Sfax,Tunisia,0.000118110013441
2855,PKC,Yelizovo,Petropavlovsk,Russia,0.000118076161032
5515,KAL,Kaltag Airport,Kaltag,United States,0.000117942825268
5686,NUL,Nulato Airport,Nulato,United States,0.000117942825268
79,YKL,Schefferville,Schefferville,Canada,0.000117864363736
4039,XUZ,Xuzhou Guanyin Airport,Xuzhou,China,0.00011777931845
2073,KSH,Shahid Ashrafi Esfahani,Bakhtaran,Iran,0.000117438763817
3909,LEX,Blue Grass,Lexington KY,United States,0.000117326770697
5229,LZH,Bailian Airport,Liuzhou,China,0.000117194299201
4367,BFQ,Bahia Piña Airport,Bahia Piña,Panama,0.000117160324771
6469,PYC,Playon Chico,Playon Chico,Panama,0.000117160324771
1831,CHX,Cap Manuel Nino Intl,Changuinola,Panama,0.000117160324771
4364,SAX,Sambu Airport,Boca de Sábalo,Panama,0.000117160324771
4365,OTD,Contadora Airport,Contadora Island,Panama,0.000117160324771
6535,PUE,Puerto Obaldia,Puerto Obaldia,Panama,0.000117160324771
4627,MYD,Malindi Airport,Malindi,Kenya,0.000117156798477
1893,MHH,Marsh Harbour,Marsh Harbor,Bahamas,0.000116889149885
4541,ECN,Ercan International Airport,Nicosia,Cyprus,0.000116881001414
3185,PDG,Minangkabau,Padang,Indonesia,0.000116558804151
3481,JAN,Jackson Evers Intl,Jackson,United States,0.000116430049373
633,EVE,Evenes,Harstad/Narvik,Norway,0.000116393809389
5641,CDR,Chadron Municipal Airport,Chadron,United States,0.000116364912827
3988,LXA,Lhasa-Gonggar,Lhasa,China,0.000116346650182
4251,NUX,Novyi Urengoy,Novy Urengoy,Russia,0.000116269548612
4272,ATT,Camp Mabry Austin City,Austin TX,United States,0.000116228817184
4811,YLH,Lansdowne House Airport,Lansdowne House,Canada,0.000116198754368
